1 Jan,5.7,1.3,5.4,0.9,0.0,0.0,0.0,5.5,1031.3,1026.9
2 Jan,10.2,5.8,9.0,5.5,0.0,8.0,0.5,10.1,1026.9,1014.9
3 Jan,10.5,4.6,10.0,2.4,0.4,7.2,0.8,4.9,1032.5,1012.2
4 Jan,8.7,3.8,5.3,2.2,0.0,6.3,0.9,6.8,1035.7,1032.1
5 Jan,8.4,6.5,6.1,5.1,0.0,4.9,0.5,7.7,1035.5,1029.4
6 Jan,8.7,6.3,7.7,3.5,0.6,8.0,1.1,7.0,1029.3,1017.2
7 Jan,12.5,5.3,11.7,4.8,0.2,9.4,1.0,12.5,1024.7,1018.1
8 Jan,12.5,9.5,11.7,8.8,0.2,6.7,0.7,9.5,1023.3,1015.2
9 Jan,12.9,6.8,11.6,5.4,3.0,9.8,1.5,7.2,1014.9,1003.2
10 Jan,8.0,4.3,5.9,2.3,0.0,5.4,0.6,5.0,1030.1,1008.6
11 Jan,10.1,5.2,8.2,3.4,0.0,11.6,1.8,9.9,1029.6,1019.9
12 Jan,11.7,5.3,9.6,4.1,1.0,9.8,1.7,5.5,1021.3,1015.3
